tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid
ztf,60884.33824069984,3130338244715015005,1,3130338244715,20.592773,1,3130,2.242734,18.354383,18.3989,0.06747483,0.0543,331.0585348,-1.9974727,0.95428574,t17_f5_c3,0.9999901,18.3993,0.0671,443120147.0,True,False,False,27.5.6,0.0,
ztf,60884.34107640013,3130341074715015003,1,3130341074715,20.563396,1,3130,2.2098475,18.387968,18.4174,0.06637578,0.0558,331.0585396,-1.9974637,0.95428574,t17_f5_c3,0.9999998,18.3846,0.0671,443120147.0,True,False,False,27.5.6,0.0,
ztf,60884.34201390017,3130342014715015004,1,3130342014715,20.557627,1,3130,2.2630346,18.37206,18.3816,0.0845968,0.0539,331.0585362,-1.9974852,0.9357143,t17_f5_c3,0.9999968,18.378,0.0664,443120147.0,True,False,False,27.5.6,0.0,
ztf,60884.37533560023,3130375334715015010,2,3130375334715,20.731567,1,3130,2.1567235,17.478872,17.4737,0.04983045,0.027,331.0585279,-1.9974771,0.85571426,t17_f5_c3,0.99966276,17.4611,0.032,443120247.0,True,False,False,27.5.6,0.0,
ztf,60884.388749999925,3130388744715015012,2,3130388744715,20.741589,1,3130,2.1862574,17.48197,17.4983,0.045629147,0.0274,331.0585234,-1.9974829,0.8857143,t17_f5_c3,0.99999464,17.4862,0.0325,443120247.0,True,False,False,27.5.6,0.0,
ztf,60884.42125000013,3130421244715015009,3,3130421244715,20.092354,1,3130,2.3229957,17.68581,17.7941,0.07652796,0.0584,331.0585251,-1.9974627,0.83428574,t17_f5_c3,0.99380565,17.8916,0.0779,443120347.0,True,False,False,27.5.6,0.0,
ztf,60885.35210649995,3131352104715015010,2,3131352104715,20.651625,1,3131,2.1687362,17.513472,17.5463,0.049396966,0.0293,331.058528,-1.9974818,0.85714287,t17_f5_c3,0.9998446,17.538,0.035,443120247.0,True,False,False,27.5.6,0.0,
ztf,60885.36113430001,3131361134715015007,3,3131361134715,20.155846,1,3131,2.312936,17.695894,17.8096,0.056172106,0.0557,331.0585239,-1.9974577,0.8685714,t17_f5_c3,0.99998,17.7956,0.0669,443120347.0,True,False,False,27.5.6,0.0,
ztf,60885.3787153,3131378714715015009,1,3131378714715,20.75198,1,3131,2.2819982,18.464893,18.4291,0.06724044,0.0523,331.0585217,-1.9974736,0.94857144,t17_f5_c3,0.9999988,18.4101,0.0633,443120147.0,True,False,False,27.5.6,0.0,
ztf,60885.38012730004,3131380124715015013,1,3131380124715,20.804634,1,3131,2.2636566,18.493416,18.3911,0.06221972,0.0491,331.0585402,-1.9974895,0.9557143,t17_f5_c3,0.9999602,18.3427,0.0578,443120147.0,True,False,False,27.5.6,0.0,
ztf,60886.3753819,3132375384715015012,2,3132375384715,20.568123,1,3132,2.1564767,17.541376,17.5923,0.047520444,0.032,331.0585329,-1.9974837,0.89857143,t17_f5_c3,0.99998987,17.5986,0.039,443120247.0,True,False,False,27.5.6,0.0,
ztf,60886.382083300035,3132382084715015012,3,3132382084715,20.095266,1,3132,2.3209558,17.71907,17.8292,0.053273637,0.0579,331.0585348,-1.9974758,0.8857143,t17_f5_c3,0.9999347,17.8789,0.0738,443120347.0,True,False,False,27.5.6,0.0,
