tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext
ztf,60867.374525499996,3113374525015015003,1,3113374525015,19.155695,1,3113,1.3484361,17.408686,17.437,0.067925625,0.0786,332.5443062,-7.650041,0.95428574,t17_f5_c3,0.9999999,17.4264,0.0998,391120150.0,True,True,False,27.5.6,0.0,,17.250902,0.05834756,0.058738183
ztf,60867.37883100007,3113378835015015011,3,3113378835015,19.199018,1,3113,1.5689194,18.330074,18.1577,0.1164783,0.1659,332.5443057,-7.6500516,0.88285714,t17_f5_c3,0.9999298,18.0526,0.1931,391120350.0,True,False,False,27.5.6,0.0,,,,
ztf,60868.41087959986,3114410875015015009,2,3114410875015,19.208187,1,3114,1.5609152,17.442942,17.4706,0.058936026,0.0764,332.5443249,-7.6500418,0.94714284,t17_f5_c3,1.0,17.4883,0.0994,391120250.0,True,False,False,27.5.6,0.0,,,,
ztf,60868.4118170999,3114411815015015012,2,3114411815015,19.224354,1,3114,1.476388,17.459211,17.5349,0.070167705,0.0811,332.5443014,-7.6500471,0.95285714,t17_f5_c3,0.99999785,17.547,0.105,391120250.0,True,False,False,27.5.6,0.0,,,,
ztf,60868.42121529998,3114421215015015015,1,3114421215015,19.07272,1,3114,1.3021649,17.420912,17.3476,0.06549378,0.0703,332.5442937,-7.6500431,0.94714284,t17_f5_c3,0.9999993,17.4229,0.0965,391120150.0,True,True,False,27.5.6,0.0,,17.261467,0.056134786,0.056548644
ztf,60868.460821799934,3114460825015015026,3,3114460825015,18.871056,1,3114,1.6916786,18.361313,18.3776,0.17249833,0.2453,332.5443417,-7.6500526,0.6642857,t17_f5_c3,0.9959513,18.2264,0.2739,391120350.0,True,False,False,27.5.6,0.0,,,,
ztf,60871.36311340006,3117363115015015003,1,3117363115015,18.340723,1,3117,1.3577449,17.55776,17.8568,0.1177694,0.2509,332.5443115,-7.6500457,0.86285716,t17_f5_c3,0.9998554,17.583,0.2503,391120150.0,True,True,False,27.5.6,0.0,,17.378576,0.09956233,0.099852495
ztf,60871.382083300035,3117382085015015008,3,3117382085015,18.5161,1,3117,1.48612,18.5504,18.0841,0.194205,0.3064,332.544291,-7.6500884,0.46,t17_f5_c3,,17.811,0.3063,,False,False,False,27.5.6,0.0,3.147340865015015e+18,,,
ztf,60871.46097220015,3117460975015015007,2,3117460975015,18.700716,1,3117,1.5022651,17.667543,17.7755,0.07833188,0.1771,332.5442967,-7.6500192,0.89428574,t17_f5_c3,0.99806607,17.8958,0.2538,391120250.0,True,False,False,27.5.6,0.0,,,,
ztf,60871.462858799845,3117462855015015008,2,3117462855015,18.56589,1,3117,1.5561713,17.551117,17.8157,0.0786919,0.1929,332.5443171,-7.6500248,0.82857144,t17_f5_c3,0.9999846,17.7345,0.2299,391120250.0,True,False,False,27.5.6,0.0,,,,
