tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid
ztf,60877.28103009984,3123281032415015021,1,3123281032415,20.695343,1,3123,3.22285,16.562614,16.5779,0.03144842,0.0122,316.9606602,18.1521513,0.8371429,t17_f5_c3,0.9999999,16.5535,0.0143,594120124.0,True,False,False,27.5.6,0.0,
ztf,60877.31799770007,3123317992415015024,2,3123317992415,20.750618,1,3123,3.8129852,16.409492,16.4302,0.04403444,0.0115,316.9606569,18.152158,0.87,t17_f5_c3,0.99985313,16.3924,0.0135,594120224.0,True,False,False,27.5.6,0.0,
ztf,60879.294432899915,3125294432415015014,1,3125294432415,20.730888,1,3125,3.210041,16.819086,16.8421,0.041775756,0.0139,316.9606579,18.152153,0.8971428,t17_f5_c3,0.99999964,16.8319,0.0166,594120124.0,True,False,False,27.5.6,0.0,
ztf,60879.36021990003,3125360212415015018,2,3125360212415,20.4577,1,3125,3.86162,16.4545,16.4896,0.032596,0.0124,316.9606639,18.1521438,0.865714,t17_f5_c3,,16.4626,0.0148,,False,False,False,27.5.6,0.0,3.155298882415015e+18
ztf,60881.38357640011,3127383572415015009,2,3127383572415,20.849825,1,3127,3.7882879,16.492727,16.5255,0.037001166,0.012,316.9606549,18.1521657,0.7757143,t17_f5_c3,0.99921024,16.5204,0.0145,594120224.0,True,False,False,27.5.6,0.0,
ztf,60881.421481499914,3127421482415015014,1,3127421482415,20.6487,1,3127,3.23425,17.1081,17.0925,0.041812,0.0177,316.9606442,18.1521493,0.884286,t17_f5_c3,,17.0469,0.0208,,False,False,False,27.5.6,0.0,3.157306002415015e+18
ztf,60883.28819439979,3129288192415015026,2,3129288192415,20.735882,1,3129,3.80207,16.536821,16.5584,0.042588633,0.013,316.960659,18.1521616,0.83285713,t17_f5_c3,0.9975418,16.5303,0.0156,594120224.0,True,False,False,27.5.6,0.0,
ztf,60883.327650499996,3129327652415015012,1,3129327652415,20.740816,1,3129,3.1910655,17.30892,17.3079,0.047504395,0.021,316.9606601,18.1521597,0.91,t17_f5_c3,0.9999999,17.2916,0.0256,594120124.0,True,False,False,27.5.6,0.0,
ztf,60885.30179399997,3131301792415015026,1,3131301792415,20.866228,1,3131,3.205536,17.556814,17.5956,0.04967058,0.0251,316.9606458,18.1521627,0.93857145,t17_f5_c3,0.9999993,17.5469,0.0299,594120124.0,True,False,False,27.5.6,0.0,
ztf,60885.325000000186,3131324992415015031,2,3131324992415,20.807373,1,3131,3.8228922,16.620419,16.6211,0.033069327,0.013,316.9606528,18.1521552,0.8314286,t17_f5_c3,0.9999565,16.5907,0.0155,594120224.0,True,False,False,27.5.6,0.0,
